Ordinance,Pool,Meter,Year,nrows,MFStart,MfEnd,MFLength,WTCStart,WTCEnd,WTCLength,Distance,DistanceFromEdge,Co_WTC,Co_MF,Co,1,2,3,4,5,ClayAvg,Clay %
NS,1,10,2021,7,68,95,27,NA,NA,NA,10.5,2.1,NA,0,0,NA,NA,NA,NA,NA,NA,41.04
NS,1,10,2021,7,68,95,27,NA,NA,NA,10.7,1.9,NA,0,0,NA,NA,NA,NA,NA,NA,36.56
NS,1,10,2021,7,68,95,27,NA,NA,NA,10.9,1.7,NA,0,0,NA,NA,NA,NA,NA,NA,32.08
NS,1,10,2018,3,NA,NA,NA,NA,NA,NA,10.1,2.5,NA,NA,NA,45,43,68,51,43,50,50
NS,1,10,2018,3,NA,NA,NA,NA,NA,NA,10.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.52
NS,1,10,2018,3,NA,NA,NA,NA,NA,NA,10.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.04
NS,1,10,2018,3,NA,NA,NA,NA,NA,NA,10.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.56
NS,1,10,2018,3,NA,NA,NA,NA,NA,NA,10.9,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.08
NS,1,10,2019,2,102,102,0,NA,NA,NA,10.1,2.5,NA,0,0,45,43,68,51,43,50,50
NS,1,10,2019,2,102,102,0,NA,NA,NA,10.3,2.3,NA,0,0,NA,NA,NA,NA,NA,NA,45.52
NS,1,10,2019,2,102,102,0,NA,NA,NA,10.5,2.1,NA,0,0,NA,NA,NA,NA,NA,NA,41.04
NS,1,10,2019,2,102,102,0,NA,NA,NA,10.7,1.9,NA,0,0,NA,NA,NA,NA,NA,NA,36.56
NS,1,10,2019,2,102,102,0,NA,NA,NA,10.9,1.7,NA,0,0,NA,NA,NA,NA,NA,NA,32.08
NS,1,11,2019,2,102,102,0,102,102,0,11.1,1.5,1,1,1,33,27,25,25,28,27.6,27.6
NS,1,11,2019,2,102,102,0,102,102,0,11.3,1.3,1,1,1,NA,NA,NA,NA,NA,NA,24.68
NS,1,11,2019,2,102,102,0,102,102,0,11.5,1.1,1,1,1,NA,NA,NA,NA,NA,NA,21.76
NS,1,11,2019,2,102,102,0,102,102,0,11.7,0.9,1,1,1,NA,NA,NA,NA,NA,NA,18.84
NS,1,11,2019,2,102,102,0,102,102,0,11.9,0.7,1,1,1,NA,NA,NA,NA,NA,NA,15.92
NS,1,11,2020,3,98,107,9,107,107,0,11.1,1.5,1,1,1,33,27,25,25,28,27.6,27.6
NS,1,11,2020,3,98,107,9,107,107,0,11.3,1.3,1,1,1,NA,NA,NA,NA,NA,NA,24.68
NS,1,11,2020,3,98,107,9,107,107,0,11.5,1.1,1,1,1,NA,NA,NA,NA,NA,NA,21.76
NS,1,11,2020,3,98,107,9,107,107,0,11.7,0.9,1,1,1,NA,NA,NA,NA,NA,NA,18.84
